
|KWMD        |89.7  MHz |FM |209 |ND  |-                   |C3 |-  |CP     |STERLING                 |AK |US |BPED   -20111014ADA |0.     kW |8.     kW |0.0     |61.1    |93589      |N |60 |29 |19.33 |W |150 |44 |42.83 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|152.4  m|-         |-       |1275477 |21.7   m|1451054   |
|WAYU        |91.1  MHz |FM |216 |ND  |-                   |A  |-  |LIC    |STEELE                   |AL |US |BLED   -20101105AAW |0.     kW |0.15   kW |0.0     |230.0   |173825     |N |33 |57 |29.60 |W |86  |13 |1.00  |WAY MEDIA, INC                                                              |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|468.4  m|-         |-       |1038794 |60.    m|1405768   |
|WVOB        |91.3  MHz |FM |217 |ND  |-                   |A  |-  |LIC    |DOTHAN                   |AL |US |BLED   -19881220KC  |2.5    kW |2.5    kW |100.0   |100.0   |4951       |N |31 |10 |57.00 |W |85  |24 |21.00 |BETHANY BIBLE COLLEGE & B.T.S. INC.                                         |   0.00 km |   0.00 mi |  0.00 deg |178.   m|178.0  m|-         |-       |-       |92.    m|121965    |
|WHIL-FM     |91.3  MHz |FM |217 |DA  |-                   |C  |-  |LIC    |MOBILE                   |AL |US |BLED   -19950728KE  |100.   kW |100.   kW |325.0   |325.0   |61999      |N |30 |41 |20.00 |W |87  |49 |49.00 |THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ALABAMA                          |   0.00 km |   0.00 mi |  0.00 deg |356.   m|356.0  m|14802     |0.      |1035771 |304.   m|211727    |
|WTBJ        |91.3  MHz |FM |217 |ND  |-                   |A  |-  |LIC    |OXFORD                   |AL |US |BLED   -19961230KA  |0.17   kW |0.17   kW |481.0   |481.0   |68099      |N |33 |29 |7.00  |W |85  |48 |33.00 |TRINITY CHRISTIAN ACADEMY                                                   |   0.00 km |   0.00 mi |  0.00 deg |771.   m|771.0  m|-         |-       |-       |38.    m|238556    |
|WFIX        |91.3  MHz |FM |217 |DA  |-                   |C1 |-  |LIC    |FLORENCE                 |AL |US |BLED   -20050908ABG |100.   kW |100.   kW |265.0   |265.0   |67799      |N |34 |40 |24.00 |W |87  |42 |56.00 |TRI-STATE INSPIRATIONAL BROADCASTING                                        |   0.00 km |   0.00 mi |  0.00 deg |450.   m|450.0  m|69493     |0.      |1037310 |191.   m|1083324   |
|WSJA        |91.3  MHz |FM |217 |DA  |-                   |A  |-  |LIC    |YORK                     |AL |US |BLED   -20101122AII |5.     kW |5.     kW |91.0    |91.0    |173427     |N |32 |27 |54.00 |W |88  |16 |54.00 |AUGUSTA RADIO FELLOWSHIP INSTITUTE, INC.                                    |   0.00 km |   0.00 mi |  0.00 deg |154.   m|154.0  m|81383     |225.    |1251328 |79.    m|1408791   |
|WBNB        |91.3  MHz |FM |217 |ND  |-                   |A  |-  |LIC    |EQUALITY                 |AL |US |BLED   -20121126AHO |0.75   kW |0.75   kW |55.0    |55.0    |173302     |N |32 |48 |53.30 |W |86  |2  |31.30 |THE POWER FOUNDATION                                                        |   0.00 km |   0.00 mi |  0.00 deg |244.   m|244.0  m|-         |-       |-       |20.    m|1527931   |
|WUAL-FM     |91.5  MHz |FM |218 |ND  |-                   |C1 |-  |LIC    |TUSCALOOSA               |AL |US |BLED   -19811221AO  |100.   kW |100.   kW |158.0   |158.0   |69168      |N |33 |5  |40.00 |W |87  |24 |47.00 |UNIVERSITY OF ALABAMA                                                       |   0.00 km |   0.00 mi |  0.00 deg |262.   m|262.0  m|-         |-       |-       |161.   m|37407     |
|WEBT        |91.5  MHz |FM |218 |ND  |-                   |A  |-  |LIC    |LANGDALE                 |AL |US |BLED   -19860121KL  |0.38   kW |0.38   kW |26.0    |26.0    |36527      |N |32 |48 |15.00 |W |85  |10 |43.00 |LANGDALE EDUCATIONAL BROADCASTING FOUNDATION                                |   0.00 km |   0.00 mi |  0.00 deg |229.   m|229.0  m|-         |-       |-       |37.    m|85148     |
|WSGN        |91.5  MHz |FM |218 |DA  |-                   |C3 |-  |LIC    |GADSDEN                  |AL |US |BLED   -20000811AAB |0.     kW |6.3    kW |0.0     |159.0   |23002      |N |34 |4  |29.00 |W |86  |1  |11.00 |GADSDEN STATE COMMUNITY COLLEGE                                             |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|384.   m|13683     |0.      |-       |55.    m|511639    |
|WSTF        |91.5  MHz |FM |218 |DA  |-                   |C3 |-  |LIC    |ANDALUSIA                |AL |US |BLED   -20100622AGE |20.5   kW |20.5   kW |110.0   |110.0   |43641      |N |31 |26 |20.00 |W |86  |30 |48.00 |FAITH BROADCASTING, INC.                                                    |   0.00 km |   0.00 mi |  0.00 deg |202.   m|202.0  m|68770     |0.      |1037698 |86.    m|1378633   |
|WYFD        |91.7  MHz |FM |219 |DA  |-                   |C2 |-  |LIC    |DECATUR                  |AL |US |BLED   -19951006KA  |9.     kW |9.     kW |240.0   |240.0   |5118       |N |34 |47 |53.00 |W |86  |38 |24.00 |BIBLE BROADCASTING NETWORK, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |479.   m|479.0  m|14250     |0.      |-       |113.   m|215076    |
|WAQG        |91.7  MHz |FM |219 |ND  |-                   |C3 |-  |LIC    |OZARK                    |AL |US |BLED   -20020131AAA |5.     kW |5.     kW |115.0   |115.0   |1613       |N |31 |26 |25.00 |W |85  |33 |49.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |205.   m|205.0  m|-         |-       |1037907 |103.   m|593410    |
|WPIL        |91.7  MHz |FM |219 |DA  |-                   |A  |-  |LIC    |HEFLIN                   |AL |US |BLED   -20100420AIG |1.3    kW |1.3    kW |26.0    |26.0    |90951      |N |33 |36 |55.00 |W |85  |32 |41.00 |ALABAMA CHRISTIAN RADIO INC                                                 |   0.00 km |   0.00 mi |  0.00 deg |339.   m|339.0  m|92007     |0.      |1259768 |67.    m|1363451   |
|WJIF        |91.9  MHz |FM |220 |ND  |-                   |A  |-  |LIC    |OPP                      |AL |US |BLED   -19860320KB  |0.38   kW |0.38   kW |50.0    |50.0    |50392      |N |31 |15 |50.00 |W |86  |13 |26.00 |OPP EDUCATIONAL B/CNG FOUNDATION                                            |   0.00 km |   0.00 mi |  0.00 deg |134.   m|134.0  m|-         |-       |-       |37.    m|86698     |
|WLJS-FM     |91.9  MHz |FM |220 |DA  |-                   |A  |-  |LIC    |JACKSONVILLE             |AL |US |BLED   -20021209AAG |0.61   kW |0.61   kW |312.0   |312.0   |4300       |N |33 |50 |12.00 |W |85  |43 |59.00 |BOARD OF TRUSTEES, JACKSONVILLE STATE UNIVERSITY                            |   0.00 km |   0.00 mi |  0.00 deg |572.   m|572.0  m|42925     |0.      |-       |54.    m|620636    |
|WGIB        |91.9  MHz |FM |220 |DA  |-                   |C3 |-  |LIC    |BIRMINGHAM               |AL |US |BLED   -20030115ABE |3.5    kW |3.5    kW |266.0   |266.0   |24256      |N |33 |24 |59.00 |W |86  |36 |28.00 |GLEN IRIS BAPTIST SCHOOL                                                    |   0.00 km |   0.00 mi |  0.00 deg |476.   m|476.0  m|41068     |0.      |-       |34.    m|621792    |
|WMBV        |91.9  MHz |FM |220 |ND  |-                   |C1 |-  |LIC    |DIXONS MILLS             |AL |US |BMLED  -20080711ABM |62.    kW |62.    kW |187.0   |187.0   |43690      |N |32 |7  |45.00 |W |87  |44 |16.00 |THE MOODY BIBLE INSTITUTE OF CHICAGO                                        |   0.00 km |   0.00 mi |  0.00 deg |259.   m|259.0  m|-         |-       |1036024 |143.   m|1256217   |
|WKUL        |92.1  MHz |FM |221 |ND  |-                   |A  |-  |LIC    |CULLMAN                  |AL |US |BLH    -19951024KD  |6.     kW |6.     kW |100.0   |100.0   |31933      |N |34 |11 |41.00 |W |86  |43 |52.00 |JONATHAN CHRISTIAN CORP.                                                    |   0.00 km |   0.00 mi |  0.00 deg |342.   m|342.0  m|-         |-       |-       |92.    m|215650    |
|WJJN        |92.1  MHz |FM |221 |ND  |-                   |A  |-  |LIC    |COLUMBIA                 |AL |US |BLH    -19951213KB  |2.55   kW |2.55   kW |152.0   |152.0   |30280      |N |31 |10 |25.00 |W |85  |12 |49.00 |WILSON BROADCASTING CO., INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |216.   m|216.0  m|-         |-       |-       |146.   m|217857    |
|WERH-FM     |92.1  MHz |FM |221 |ND  |-                   |A  |-  |LIC    |HAMILTON                 |AL |US |BLH    -3981        |3.     kW |3.     kW |37.0    |37.0    |33473      |N |34 |7  |1.00  |W |87  |59 |29.00 |KATE F. FITE                                                                |   0.00 km |   0.00 mi |  0.00 deg |202.   m|202.0  m|-         |-       |-       |87.    m|300205    |
|WZEW        |92.1  MHz |FM |221 |ND  |-                   |C3 |-  |LIC    |FAIRHOPE                 |AL |US |BLH    -20070510ACU |20.5   kW |20.5   kW |110.6   |110.6   |74287      |N |30 |31 |23.00 |W |88  |6  |32.00 |.COM+, L.L.C.                                                               |   0.00 km |   0.00 mi |  0.00 deg |122.   m|122.0  m|-         |-       |1246518 |119.   m|1185027   |
|WLWI-FM     |92.3  MHz |FM |222 |ND  |-                   |C0 |-  |LIC    |MONTGOMERY               |AL |US |BMLH   -20070402ADQ |100.   kW |100.   kW |334.0   |334.0   |12318      |N |32 |24 |13.00 |W |86  |11 |47.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |397.   m|397.0  m|-         |-       |1042484 |342.   m|1174979   |
|WLWI-FM     |92.3  MHz |FM |222 |ND  |-                   |C  |-  |CP     |MONTGOMERY               |AL |US |BPH    -20121212ACG |100.   kW |100.   kW |494.8   |494.8   |12318      |N |32 |10 |39.00 |W |86  |38 |33.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |557.3  m|557.3  m|-         |-       |1247153 |501.5  m|1526931   |
|WVNN-FM     |92.5  MHz |FM |223 |ND  |-                   |A  |-  |LIC    |TRINITY                  |AL |US |BLH    -19921019KD  |3.1    kW |3.1    kW |129.0   |129.0   |25385      |N |34 |42 |36.00 |W |87  |4  |54.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |315.   m|315.0  m|-         |-       |1030599 |123.   m|177986    |
|WXJC-FM     |92.5  MHz |FM |223 |ND  |-                   |A  |-  |LIC    |CORDOVA                  |AL |US |BLH    -20040819AAQ |2.2    kW |2.2    kW |167.0   |167.0   |77749      |N |33 |38 |55.00 |W |87  |9  |19.00 |KIMTRON, INC.                                                               |   0.00 km |   0.00 mi |  0.00 deg |287.   m|287.0  m|-         |-       |1016443 |105.   m|1008173   |
|WWWH-FM     |92.7  MHz |FM |224 |ND  |-                   |A  |-  |LIC    |HALEYVILLE               |AL |US |BMLH   -19900531KB  |3.9    kW |3.9    kW |73.0    |73.0    |25851      |N |34 |14 |0.00  |W |87  |37 |32.00 |AMS RADIO LLC                                                               |   0.00 km |   0.00 mi |  0.00 deg |322.   m|322.0  m|-         |-       |-       |54.    m|148975    |
|WKZJ        |92.7  MHz |FM |224 |ND  |-                   |C2 |-  |LIC    |EUFAULA                  |AL |US |BLH    -20001103AAC |39.    kW |39.    kW |168.0   |168.0   |36307      |N |32 |7  |58.00 |W |85  |4  |13.00 |DAVIS BROADCASTING, INC. OF COLUMBUS                                        |   0.00 km |   0.00 mi |  0.00 deg |252.   m|252.0  m|-         |-       |1055362 |146.   m|529998    |
|WTDR-FM     |92.7  MHz |FM |224 |ND  |-                   |A  |-  |LIC    |TALLADEGA                |AL |US |BLH    -20010116ABQ |2.6    kW |2.6    kW |154.0   |154.0   |29722      |N |33 |29 |12.00 |W |85  |59 |15.00 |THE JEFF BECK BROADCASTING GROUP, LLC                                       |   0.00 km |   0.00 mi |  0.00 deg |380.   m|380.0  m|-         |-       |1219974 |136.   m|545475    |
|WAFN-FM     |92.7  MHz |FM |224 |ND  |-                   |A  |-  |LIC    |ARAB                     |AL |US |BLH    -20120629ACR |1.15   kW |1.15   kW |202.0   |202.0   |57439      |N |34 |20 |40.60 |W |86  |26 |23.30 |FUN MEDIA GROUP, INC.                                                       |   0.00 km |   0.00 mi |  0.00 deg |470.   m|470.0  m|-         |-       |1259610 |147.   m|1506052   |
|WTUG-FM     |92.9  MHz |FM |225 |ND  |-                   |C1 |-  |LIC    |NORTHPORT                |AL |US |BLH    -20050624AAS |100.   kW |100.   kW |298.8   |298.8   |54796      |N |33 |3  |15.00 |W |87  |32 |57.00 |TOWNSQUARE MEDIA TUSCALOOSA LICENSE, LLC                                    |   0.00 km |   0.00 mi |  0.00 deg |372.3  m|372.3  m|-         |-       |1036764 |237.3  m|1068041   |
|WBLX-FM     |92.9  MHz |FM |225 |ND  |-                   |C  |-  |LIC    |MOBILE                   |AL |US |BLH    -20050627AAR |100.   kW |100.   kW |520.5   |520.5   |2540       |N |30 |36 |45.00 |W |87  |38 |43.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |553.4  m|553.4  m|-         |-       |1212516 |508.6  m|1068657   |
|WGMZ        |93.1  MHz |FM |226 |ND  |-                   |A  |-  |LIC    |GLENCOE                  |AL |US |BLH    -19931027KA  |1.65   kW |1.65   kW |189.0   |189.0   |2465       |N |33 |57 |16.00 |W |85  |51 |40.00 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |382.   m|382.0  m|-         |-       |-       |58.    m|191274    |
|WACV        |93.1  MHz |FM |226 |DA  |-                   |A  |-  |LIC    |COOSADA                  |AL |US |BLH    -20120815ABC |3.1    kW |3.1    kW |141.3   |141.3   |189524     |N |32 |28 |41.00 |W |86  |24 |28.00 |LIBERTY ACQUISTIONS 825, LLC                                                |   0.00 km |   0.00 mi |  0.00 deg |220.   m|220.0  m|105570    |0.      |1010071 |89.    m|1512454   |
|WWFF-FM     |93.3  MHz |FM |227 |DA  |-                   |C2 |-  |LIC    |NEW MARKET               |AL |US |BLH    -20071228ABT |14.5   kW |14.5   kW |278.5   |278.5   |65223      |N |34 |47 |37.00 |W |86  |37 |51.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |511.5  m|511.5  m|69347     |0.      |1057232 |152.4  m|1226505   |
|WMLV        |93.5  MHz |FM |228 |DA  |-                   |C2 |-  |LIC    |BUTLER                   |AL |US |BMLED  -20111005AIW |32.    kW |32.    kW |186.0   |186.0   |7903       |N |32 |9  |26.00 |W |88  |29 |17.00 |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |301.   m|301.0  m|14689     |0.      |1231477 |142.   m|1448810   |
|NEW         |93.5  MHz |FM |228 |ND  |-                   |A  |-  |APP    |PIKE ROAD                |AL |US |BNPH   -20120622ACG |6.     kW |6.     kW |64.0    |64.0    |189433     |N |32 |14 |29.00 |W |86  |6  |40.00 |ALATRON CORPORATION, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |141.2  m|141.2  m|-         |-       |-       |58.    m|1505297   |
|WDBT        |93.5  MHz |FM |228 |ND  |-                   |A  |-  |APP    |HOPE HULL                |AL |US |BPH    -20121119AOG |4.4    kW |4.4    kW |116.1   |116.1   |62206      |N |32 |9  |22.00 |W |86  |19 |25.00 |GULF SOUTH COMMUNICATIONS, INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |194.7  m|194.7  m|-         |-       |-       |102.3  m|1531345   |
|WDJC-FM     |93.7  MHz |FM |229 |ND  |-                   |C0 |-  |LIC    |BIRMINGHAM               |AL |US |BLH    -19870205KC  |100.   kW |100.   kW |307.0   |307.0   |34819      |N |33 |26 |36.00 |W |86  |52 |50.00 |KIMTRON, INC.                                                               |   0.00 km |   0.00 mi |  0.00 deg |488.   m|488.0  m|-         |-       |1036590 |201.   m|97511     |
|WDBT        |93.7  MHz |FM |229 |ND  |-                   |C1 |-  |LIC    |HARTFORD                 |AL |US |BLH    -20090707AEB |100.   kW |100.   kW |260.0   |260.0   |62206      |N |31 |2  |42.00 |W |85  |57 |33.00 |GULF SOUTH COMMUNICATIONS, INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |303.   m|303.0  m|-         |-       |1036594 |248.   m|1318925   |
|WYTK        |93.9  MHz |FM |230 |ND  |-                   |A  |-  |LIC    |ROGERSVILLE              |AL |US |BLH    -19931220KC  |2.25   kW |2.25   kW |162.0   |162.0   |14052      |N |34 |51 |52.00 |W |87  |23 |43.00 |VALLEY BROADCASTING, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |355.   m|355.0  m|-         |-       |-       |148.   m|193217    |
|WTGZ        |93.9  MHz |FM |230 |ND  |-                   |C3 |-  |LIC    |UNION SPRINGS            |AL |US |BLH    -20060306BHJ |12.5   kW |12.5   kW |143.0   |143.0   |9782       |N |32 |19 |4.00  |W |85  |40 |16.00 |TIGER COMMUNICATIONS, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |236.   m|236.0  m|-         |-       |1245598 |143.   m|1117594   |
|WZBQ        |94.1  MHz |FM |231 |ND  |-                   |C0 |-  |LIC    |CARROLLTON               |AL |US |BLH    -20040726ADJ |100.   kW |100.   kW |307.0   |307.0   |70264      |N |33 |13 |7.00  |W |88  |5  |47.00 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |385.   m|385.0  m|-         |-       |1043850 |328.   m|1027289   |
|WHRP        |94.1  MHz |FM |231 |ND  |-                   |A  |-  |LIC    |GURLEY                   |AL |US |BLH    -20060504AAM |0.71   kW |0.71   kW |288.0   |288.0   |22264      |N |34 |40 |50.00 |W |86  |30 |55.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |534.   m|534.0  m|-         |-       |1037308 |73.    m|1127438   |
|WQZX        |94.3  MHz |FM |232 |ND  |-                   |A  |-  |LIC    |GREENVILLE               |AL |US |BMLH   -19950817KA  |3.9    kW |3.9    kW |125.0   |125.0   |26479      |N |31 |54 |40.00 |W |86  |36 |19.00 |HAYNES BROADCASTING, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |244.   m|244.0  m|-         |-       |-       |89.    m|212861    |
